display  D   display_settings.c:214  debug_display_settings           [   0.07992] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07996] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08000] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08005] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08009] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08013] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08017] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08021] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08025] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08030] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08034] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08038] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08042] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08046] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08050] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08055] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.08061] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.08098] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.08107] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.13876] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.17124] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.17133] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.17145] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.17154] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.17196] Returning d3d_display: 000001F5988B60F0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.17203] al_display=000001F5988B60F0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.17207] al_display->vt=000001F596DB7050
system   D            wsystem.c:834  maybe_parent_dir                 [   0.17298] Also searching C:\Users\keli_\OneDrive\Área de Trabalho\Projeto-Manhattan\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.17323] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   0.17328] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   0.17411] Loaded C:\WINDOWS\system32\d3dx9_43.dll
